Training dimension 1...
Epoch  19:  Train Loss: 1.0774e+01,  Validation Loss: 1.0827e+01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.079739
Epoch  20:  Train Loss: 1.2320e+01,  Validation Loss: 1.2123e+01,  Epoch Time: 0.55s,  Current Pruning Threshold: 0.094479
Epoch  21:  Train Loss: 1.1608e+01,  Validation Loss: 1.1565e+01,  Epoch Time: 0.58s,  Current Pruning Threshold: 0.10987
Epoch  22:  Train Loss: 1.1203e+01,  Validation Loss: 1.1243e+01,  Epoch Time: 0.56s,  Current Pruning Threshold: 0.12573
Epoch  23:  Train Loss: 1.2874e+01,  Validation Loss: 1.2462e+01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.14188
Epoch  24:  Train Loss: 1.2102e+01,  Validation Loss: 1.1968e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.15812
Epoch  25:  Train Loss: 1.1634e+01,  Validation Loss: 1.1598e+01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.17427
Epoch  26:  Train Loss: 1.1298e+01,  Validation Loss: 1.1317e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.19013
Epoch  27:  Train Loss: 1.3097e+01,  Validation Loss: 1.2829e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.20552
Epoch  28:  Train Loss: 1.2358e+01,  Validation Loss: 1.2335e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.22026
Epoch  29:  Train Loss: 1.2010e+01,  Validation Loss: 1.2071e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.23418
Epoch  30:  Train Loss: 1.1804e+01,  Validation Loss: 1.1901e+01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.24711
Epoch  31:  Train Loss: 1.1714e+01,  Validation Loss: 1.1859e+01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.2589
Epoch  32:  Train Loss: 1.1686e+01,  Validation Loss: 1.1825e+01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.26941
Epoch  33:  Train Loss: 1.1677e+01,  Validation Loss: 1.1799e+01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.27853
Epoch  34:  Train Loss: 1.1649e+01,  Validation Loss: 1.1861e+01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.28614
Epoch  35:  Train Loss: 1.1665e+01,  Validation Loss: 1.1802e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.29215
Epoch  36:  Train Loss: 1.1661e+01,  Validation Loss: 1.1831e+01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.29649
Epoch  37:  Train Loss: 1.1654e+01,  Validation Loss: 1.1852e+01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.29912
