Training dimension 1...
Epoch 600:  Train Loss: 3.6453e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 620:  Train Loss: 4.4093e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 640:  Train Loss: 4.3477e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.00089753
Epoch 660:  Train Loss: 3.8538e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.0090592
Epoch 680:  Train Loss: 3.7952e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.024394
Epoch 700:  Train Loss: 3.6532e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.044215
Epoch 720:  Train Loss: 3.6599e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.065049
Epoch 740:  Train Loss: 3.7011e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.083247
Epoch 760:  Train Loss: 3.6453e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.09562
Epoch 780:  Train Loss: 3.5954e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 800:  Train Loss: 3.6611e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 820:  Train Loss: 4.5305e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch 840:  Train Loss: 4.6640e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.00089753
Epoch 860:  Train Loss: 3.8641e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.0090592
Epoch 880:  Train Loss: 3.8327e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 900:  Train Loss: 3.7843e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.044215
Epoch 920:  Train Loss: 3.7241e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 940:  Train Loss: 3.5809e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.083247
